"Year,month",subcategory,Leads_per_ad
2019-01,Accessories for Phones & Gadgets,6.461201576161493
2019-01,Accommodation & Homestays,6.417076269239378
2019-01,Apartments,8.536069373750752
2019-01,Bags & Wallets,6.072371133706581
2019-01,Bed & Bath,6.094082644405802
2019-01,Business for Sale,10.001948965455187
2019-01,Cameras & Photography,7.396209771106516
2019-01,Car Accessories & Parts,6.527571170748087
2019-01,Cars,9.001784730387696
2019-01,Clothes,5.759968093648963
2019-01,Commercial Properties,6.194426730832032
2019-01,Commercial Vehicle & Boats,7.8641633692902655
2019-01,Computers & Accessories,7.461480091761891
2019-01,Food,5.535689244210379
2019-01,Furniture & Decoration,6.074013550313821
2019-01,Games & Consoles,8.624853345792095
2019-01,Garden Items,5.715625245223913
2019-01,Health & Beauty,5.827063318229562
2019-01,Hobby & Collectibles,6.532459428095608
2019-01,Home Appliances & Kitchen,6.576911870254891
2019-01,Houses,8.438086990536604
2019-01,Jobs,13.227406596273807
2019-01,Land,6.76771241386835
2019-01,Mobile Phones & Gadgets,10.053184383941966
2019-01,Moms & Kids,5.798783764081971
2019-01,Motorcycle Accessories & Parts,6.773625832320705
2019-01,Motorcycles,11.063161431426517
2019-01,Music Instruments,6.148894689656282
2019-01,Music/Movies/Books/Magazines,5.0913297654847
2019-01,Other Accessories & Parts,6.913533593154738
2019-01,Others,6.436088312001358
2019-01,Pets,6.9452401332607865
2019-01,Professional/Business Equipment,6.52387921770079
2019-01,Rooms,9.363126021533425
2019-01,Services,6.904110472354781
2019-01,Shoes,6.052484055142436
2019-01,Sports & Outdoors,5.83101038059417
2019-01,TV/Audio/Video,7.770898943983967
2019-01,Textbooks,5.5513713143623615
2019-01,Tickets & Vouchers,6.973824222024885
2019-01,Tours and Holidays,7.441551527103287
2019-01,Watches & Fashion Accessories,5.9488532553102615
2019-01,Wedding,5.936333201527739
2019-02,Accessories for Phones & Gadgets,6.612334591020096
2019-02,Accommodation & Homestays,6.395842795868539
2019-02,Apartments,8.20257253472082
2019-02,Bags & Wallets,6.03649101638362
2019-02,Bed & Bath,5.955587451498981
2019-02,Business for Sale,9.948598220732976
2019-02,Cameras & Photography,7.321672458064353
2019-02,Car Accessories & Parts,6.454620741204077
2019-02,Cars,8.835985852000826
2019-02,Clothes,5.743700346844454
2019-02,Commercial Properties,6.041163415878018
2019-02,Commercial Vehicle & Boats,7.8162127933876775
2019-02,Computers & Accessories,7.448441743918522
2019-02,Food,5.625989107968953
2019-02,Furniture & Decoration,6.035873808174179
2019-02,Games & Consoles,8.648444246766948
2019-02,Garden Items,5.679874175800164
2019-02,Health & Beauty,5.785524747576148
2019-02,Hobby & Collectibles,6.772558363372085
2019-02,Home Appliances & Kitchen,6.575945406981799
2019-02,Houses,8.200299417057478
2019-02,Jobs,12.537537129781182
2019-02,Land,6.723634341278725
2019-02,Mobile Phones & Gadgets,10.420864691831136
